iter	Passed	Remaining
966	19645	670
967	19660	649
968	19678	629
969	19694	609
970	19710	588
971	19725	568
972	19741	547
973	19756	527
974	19771	506
975	19787	486
976	19803	466
977	19818	445
978	19838	425
979	19860	405
980	19881	385
981	19899	364
982	19914	344
983	19929	324
984	19943	303
985	19959	283
986	19978	263
987	19996	242
988	20012	222
989	20027	202
990	20043	182
991	20060	161
992	20075	141
993	20089	121
994	20105	101
995	20119	80
996	20171	60
997	20193	40
998	20208	20
999	20223	0
